Product;Application-Areas;SubDomain;Domain;Company
Degressal® SD 20; Commercial Laundry;I&I;Home care and I&I;BASF
Demelan® GC 17; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® M 7; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® M 7/MB (EU); Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 10; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 109; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 12; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 129; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 3; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 5; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 6; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 89; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 79; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 131; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 431; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 500; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 7319; Commercial Laundry;I&I;Home care and I&I;BASF
Pluriol® E 200; Commercial Laundry;I&I;Home care and I&I;BASF
Pluriol® E 600; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® CP 12 S; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® CP 13 S; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® CP 5 Granules; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® CP 7; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL Granules; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® PA 30 CL PN Granules; Commercial Laundry;I&I;Home care and I&I;BASF
Sulfopon® 1216 G; Commercial Laundry;I&I;Home care and I&I;BASF
Sulfopon® 8515 G; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® B liquid; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® B Powder; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® BS; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® BX Liquid; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® BX Powder; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® 04 Deo; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® 100; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® 100/MB; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® 980; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® 980/MB; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® LS 6/MB; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® LT 6; Commercial Laundry;I&I;Home care and I&I;BASF
Dehypound® GL; Commercial Laundry;I&I;Home care and I&I;BASF
Dehyton® PK 45 LA; Commercial Laundry;I&I;Home care and I&I;BASF
Emulan® TO 4070; Commercial Laundry;I&I;Home care and I&I;BASF
Lavergy® Pro 104 L; Commercial Laundry;I&I;Home care and I&I;BASF
Lavergy® Pro 104 LS; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® AO 7; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® CS 6250; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 7; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 79; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 89; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 69; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 89; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XP 99; Commercial Laundry;I&I;Home care and I&I;BASF
Luvipur® FM 75; Commercial Laundry;I&I;Home care and I&I;BASF
Luvipur® FM 85; Commercial Laundry;I&I;Home care and I&I;BASF
Luvipur® FM 99; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 120; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 223Dishwashing; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 224; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 231; Commercial Laundry;I&I;Home care and I&I;BASF
Plurafac® LF 305; Commercial Laundry;I&I;Home care and I&I;BASF
Rheovis® AT 120; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® CP 10; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® CP 5; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® HP 20; Commercial Laundry;I&I;Home care and I&I;BASF
Sokalan® PA 25 CL PN; Commercial Laundry;I&I;Home care and I&I;BASF
Texapon® N 701; Commercial Laundry;I&I;Home care and I&I;BASF
Trilon® M Max EcoBalanced; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® LT 7; Commercial Laundry;I&I;Home care and I&I;BASF
Dehydol® LT 7/MB; Commercial Laundry;I&I;Home care and I&I;BASF
Dehyton® PK 45; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® TO 8; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 140; Commercial Laundry;I&I;Home care and I&I;BASF
Lutensol® XL 60; Commercial Laundry;I&I;Home care and I&I;BASF
